date,regime_active,n_positions,cash,cash_pct,total_fees,total_slippage
2020-01-01,False,0,10000.0,1.0,0.0,0.0
2020-01-02,False,0,10000.0,1.0,0.0,0.0
2020-01-03,False,0,10000.0,1.0,0.0,0.0
2020-01-04,False,0,10000.0,1.0,0.0,0.0
2020-01-05,False,0,10000.0,1.0,0.0,0.0
2020-01-06,False,0,10000.0,1.0,0.0,0.0
2020-01-07,False,0,10000.0,1.0,0.0,0.0
2020-01-08,False,0,10000.0,1.0,0.0,0.0
2020-01-09,False,0,10000.0,1.0,0.0,0.0
2020-01-10,False,0,10000.0,1.0,0.0,0.0
2020-01-11,False,0,10000.0,1.0,0.0,0.0
2020-01-12,False,0,10000.0,1.0,0.0,0.0
2020-01-13,False,0,10000.0,1.0,0.0,0.0
2020-01-14,False,0,10000.0,1.0,0.0,0.0
2020-01-15,False,0,10000.0,1.0,0.0,0.0
2020-01-16,False,0,10000.0,1.0,0.0,0.0
2020-01-17,False,0,10000.0,1.0,0.0,0.0
2020-01-18,False,0,10000.0,1.0,0.0,0.0
2020-01-19,False,0,10000.0,1.0,0.0,0.0
2020-01-20,False,0,10000.0,1.0,0.0,0.0
2020-01-21,False,0,10000.0,1.0,0.0,0.0
2020-01-22,False,0,10000.0,1.0,0.0,0.0
2020-01-23,False,0,10000.0,1.0,0.0,0.0
2020-01-24,False,0,10000.0,1.0,0.0,0.0
2020-01-25,False,0,10000.0,1.0,0.0,0.0
2020-01-26,False,0,10000.0,1.0,0.0,0.0
2020-01-27,False,0,10000.0,1.0,0.0,0.0
2020-01-28,False,0,10000.0,1.0,0.0,0.0
2020-01-29,False,0,10000.0,1.0,0.0,0.0
2020-01-30,False,0,10000.0,1.0,0.0,0.0
2020-01-31,False,0,10000.0,1.0,0.0,0.0
2020-02-01,False,0,10000.0,1.0,0.0,0.0
2020-02-02,False,0,10000.0,1.0,0.0,0.0
2020-02-03,False,0,10000.0,1.0,0.0,0.0
2020-02-04,False,0,10000.0,1.0,0.0,0.0
2020-02-05,False,0,10000.0,1.0,0.0,0.0
2020-02-06,False,0,10000.0,1.0,0.0,0.0
2020-02-07,False,0,10000.0,1.0,0.0,0.0
2020-02-08,False,0,10000.0,1.0,0.0,0.0
2020-02-09,False,0,10000.0,1.0,0.0,0.0
2020-02-10,False,0,10000.0,1.0,0.0,0.0
2020-02-11,False,0,10000.0,1.0,0.0,0.0
2020-02-12,False,0,10000.0,1.0,0.0,0.0
2020-02-13,False,0,10000.0,1.0,0.0,0.0
2020-02-14,False,0,10000.0,1.0,0.0,0.0
2020-02-15,False,0,10000.0,1.0,0.0,0.0
2020-02-16,False,0,10000.0,1.0,0.0,0.0
2020-02-17,False,0,10000.0,1.0,0.0,0.0
2020-02-18,False,0,10000.0,1.0,0.0,0.0
2020-02-19,False,0,10000.0,1.0,0.0,0.0
2020-02-20,False,0,10000.0,1.0,0.0,0.0
2020-02-21,False,0,10000.0,1.0,0.0,0.0
2020-02-22,False,0,10000.0,1.0,0.0,0.0
2020-02-23,False,0,10000.0,1.0,0.0,0.0
2020-02-24,False,0,10000.0,1.0,0.0,0.0
2020-02-25,False,0,10000.0,1.0,0.0,0.0
2020-02-26,False,0,10000.0,1.0,0.0,0.0
2020-02-27,False,0,10000.0,1.0,0.0,0.0
2020-02-28,False,0,10000.0,1.0,0.0,0.0
2020-02-29,False,0,10000.0,1.0,0.0,0.0
2020-03-01,False,0,10000.0,1.0,0.0,0.0
2020-03-02,False,0,10000.0,1.0,0.0,0.0
2020-03-03,False,0,10000.0,1.0,0.0,0.0
2020-03-04,False,0,10000.0,1.0,0.0,0.0
2020-03-05,False,0,10000.0,1.0,0.0,0.0
2020-03-06,False,0,10000.0,1.0,0.0,0.0
2020-03-07,False,0,10000.0,1.0,0.0,0.0
2020-03-08,False,0,10000.0,1.0,0.0,0.0
2020-03-09,False,0,10000.0,1.0,0.0,0.0
2020-03-10,False,0,10000.0,1.0,0.0,0.0
2020-03-11,False,0,10000.0,1.0,0.0,0.0
2020-03-12,False,0,10000.0,1.0,0.0,0.0
2020-03-13,False,0,10000.0,1.0,0.0,0.0
2020-03-14,False,0,10000.0,1.0,0.0,0.0
2020-03-15,False,0,10000.0,1.0,0.0,0.0
2020-03-16,False,0,10000.0,1.0,0.0,0.0
2020-03-17,False,0,10000.0,1.0,0.0,0.0
2020-03-18,False,0,10000.0,1.0,0.0,0.0
2020-03-19,False,0,10000.0,1.0,0.0,0.0
2020-03-20,False,0,10000.0,1.0,0.0,0.0
2020-03-21,False,0,10000.0,1.0,0.0,0.0
2020-03-22,False,0,10000.0,1.0,0.0,0.0
2020-03-23,False,0,10000.0,1.0,0.0,0.0
2020-03-24,False,0,10000.0,1.0,0.0,0.0
2020-03-25,False,0,10000.0,1.0,0.0,0.0
2020-03-26,False,0,10000.0,1.0,0.0,0.0
2020-03-27,False,0,10000.0,1.0,0.0,0.0
2020-03-28,False,0,10000.0,1.0,0.0,0.0
2020-03-29,False,0,10000.0,1.0,0.0,0.0
2020-03-30,False,0,10000.0,1.0,0.0,0.0
2020-03-31,False,0,10000.0,1.0,0.0,0.0
2020-04-01,False,0,10000.0,1.0,0.0,0.0
2020-04-02,False,0,10000.0,1.0,0.0,0.0
2020-04-03,False,0,10000.0,1.0,0.0,0.0
2020-04-04,False,0,10000.0,1.0,0.0,0.0
2020-04-05,False,0,10000.0,1.0,0.0,0.0
2020-04-06,False,0,10000.0,1.0,0.0,0.0
2020-04-07,False,0,10000.0,1.0,0.0,0.0
2020-04-08,False,0,10000.0,1.0,0.0,0.0
2020-04-09,False,0,10000.0,1.0,0.0,0.0
2020-04-10,False,0,10000.0,1.0,0.0,0.0
2020-04-11,False,0,10000.0,1.0,0.0,0.0
2020-04-12,False,0,10000.0,1.0,0.0,0.0
2020-04-13,False,0,10000.0,1.0,0.0,0.0
2020-04-14,False,0,10000.0,1.0,0.0,0.0
2020-04-15,False,0,10000.0,1.0,0.0,0.0
2020-04-16,False,0,10000.0,1.0,0.0,0.0
2020-04-17,False,0,10000.0,1.0,0.0,0.0
2020-04-18,False,0,10000.0,1.0,0.0,0.0
2020-04-19,False,0,10000.0,1.0,0.0,0.0
2020-04-20,False,0,10000.0,1.0,0.0,0.0
2020-04-21,False,0,10000.0,1.0,0.0,0.0
2020-04-22,False,0,10000.0,1.0,0.0,0.0
2020-04-23,False,0,10000.0,1.0,0.0,0.0
2020-04-24,False,0,10000.0,1.0,0.0,0.0
2020-04-25,False,0,10000.0,1.0,0.0,0.0
2020-04-26,False,0,10000.0,1.0,0.0,0.0
2020-04-27,False,0,10000.0,1.0,0.0,0.0
2020-04-28,False,0,10000.0,1.0,0.0,0.0
2020-04-29,False,0,10000.0,1.0,0.0,0.0
2020-04-30,False,0,10000.0,1.0,0.0,0.0
2020-05-01,False,0,10000.0,1.0,0.0,0.0
2020-05-02,False,0,10000.0,1.0,0.0,0.0
2020-05-03,False,0,10000.0,1.0,0.0,0.0
2020-05-04,False,0,10000.0,1.0,0.0,0.0
2020-05-05,False,0,10000.0,1.0,0.0,0.0
2020-05-06,False,0,10000.0,1.0,0.0,0.0
2020-05-07,False,0,10000.0,1.0,0.0,0.0
2020-05-08,False,0,10000.0,1.0,0.0,0.0
2020-05-09,False,0,10000.0,1.0,0.0,0.0
2020-05-10,False,0,10000.0,1.0,0.0,0.0
2020-05-11,False,0,10000.0,1.0,0.0,0.0
2020-05-12,False,0,10000.0,1.0,0.0,0.0
2020-05-13,False,0,10000.0,1.0,0.0,0.0
2020-05-14,False,0,10000.0,1.0,0.0,0.0
2020-05-15,False,0,10000.0,1.0,0.0,0.0
2020-05-16,False,0,10000.0,1.0,0.0,0.0
2020-05-17,False,0,10000.0,1.0,0.0,0.0
2020-05-18,False,0,10000.0,1.0,0.0,0.0
2020-05-19,False,0,10000.0,1.0,0.0,0.0
2020-05-20,False,0,10000.0,1.0,0.0,0.0
2020-05-21,False,0,10000.0,1.0,0.0,0.0
2020-05-22,False,0,10000.0,1.0,0.0,0.0
2020-05-23,False,0,10000.0,1.0,0.0,0.0
2020-05-24,False,0,10000.0,1.0,0.0,0.0
2020-05-25,False,0,10000.0,1.0,0.0,0.0
2020-05-26,False,0,10000.0,1.0,0.0,0.0
2020-05-27,False,0,10000.0,1.0,0.0,0.0
2020-05-28,False,0,10000.0,1.0,0.0,0.0
2020-05-29,False,0,10000.0,1.0,0.0,0.0
2020-05-30,False,0,10000.0,1.0,0.0,0.0
2020-05-31,False,0,10000.0,1.0,0.0,0.0
2020-06-01,False,0,10000.0,1.0,0.0,0.0
2020-06-02,False,0,10000.0,1.0,0.0,0.0
2020-06-03,False,0,10000.0,1.0,0.0,0.0
2020-06-04,False,0,10000.0,1.0,0.0,0.0
2020-06-05,False,0,10000.0,1.0,0.0,0.0
2020-06-06,False,0,10000.0,1.0,0.0,0.0
2020-06-07,False,0,10000.0,1.0,0.0,0.0
2020-06-08,False,0,10000.0,1.0,0.0,0.0
2020-06-09,False,0,10000.0,1.0,0.0,0.0
2020-06-10,False,0,10000.0,1.0,0.0,0.0
2020-06-11,False,0,10000.0,1.0,0.0,0.0
2020-06-12,False,0,10000.0,1.0,0.0,0.0
2020-06-13,False,0,10000.0,1.0,0.0,0.0
2020-06-14,False,0,10000.0,1.0,0.0,0.0
2020-06-15,False,0,10000.0,1.0,0.0,0.0
2020-06-16,False,0,10000.0,1.0,0.0,0.0
2020-06-17,False,0,10000.0,1.0,0.0,0.0
2020-06-18,False,0,10000.0,1.0,0.0,0.0
2020-06-19,False,0,10000.0,1.0,0.0,0.0
2020-06-20,False,0,10000.0,1.0,0.0,0.0
2020-06-21,False,0,10000.0,1.0,0.0,0.0
2020-06-22,False,0,10000.0,1.0,0.0,0.0
2020-06-23,False,0,10000.0,1.0,0.0,0.0
2020-06-24,False,0,10000.0,1.0,0.0,0.0
2020-06-25,False,0,10000.0,1.0,0.0,0.0
2020-06-26,False,0,10000.0,1.0,0.0,0.0
2020-06-27,False,0,10000.0,1.0,0.0,0.0
2020-06-28,False,0,10000.0,1.0,0.0,0.0
2020-06-29,False,0,10000.0,1.0,0.0,0.0
2020-06-30,False,0,10000.0,1.0,0.0,0.0
2020-07-01,False,0,10000.0,1.0,0.0,0.0
2020-07-02,False,0,10000.0,1.0,0.0,0.0
2020-07-03,False,0,10000.0,1.0,0.0,0.0
2020-07-04,False,0,10000.0,1.0,0.0,0.0
2020-07-05,False,0,10000.0,1.0,0.0,0.0
2020-07-06,False,0,10000.0,1.0,0.0,0.0
2020-07-07,False,0,10000.0,1.0,0.0,0.0
2020-07-08,False,0,10000.0,1.0,0.0,0.0
2020-07-09,False,0,10000.0,1.0,0.0,0.0
2020-07-10,False,0,10000.0,1.0,0.0,0.0
2020-07-11,False,0,10000.0,1.0,0.0,0.0
2020-07-12,False,0,10000.0,1.0,0.0,0.0
2020-07-13,False,0,10000.0,1.0,0.0,0.0
2020-07-14,False,0,10000.0,1.0,0.0,0.0
2020-07-15,False,0,10000.0,1.0,0.0,0.0
2020-07-16,False,0,10000.0,1.0,0.0,0.0
2020-07-17,False,0,10000.0,1.0,0.0,0.0
2020-07-18,True,0,10000.0,1.0,0.0,0.0
2020-07-19,True,0,10000.0,1.0,0.0,0.0
2020-07-20,True,0,10000.0,1.0,0.0,0.0
2020-07-21,True,0,10000.0,1.0,0.0,0.0
2020-07-22,True,9,3456.6070646251565,0.3461127527182002,0.0,0.0
2020-07-23,True,9,3456.6070646251565,0.3471379534816189,0.0,0.0
2020-07-24,True,9,3456.6070646251565,0.3523381942772152,0.0,0.0
2020-07-25,True,9,3456.6070646251565,0.3395472000005294,0.0,0.0
2020-07-26,True,9,3456.6070646251565,0.3417144049935737,0.0,0.0
2020-07-27,True,9,3456.6070646251565,0.3549586306821428,0.0,0.0
2020-07-28,True,9,3456.6070646251565,0.34526435324816274,0.0,0.0
2020-07-29,True,9,3408.6966430074494,0.3461127527182002,6.417622835625083,6.417622835625083
2020-07-30,True,9,3408.6966430074494,0.33880127342540034,6.417622835625083,6.417622835625083
2020-07-31,True,9,3408.6966430074494,0.33796972966587974,6.417622835625083,6.417622835625083
